name,ring,quadrant,isNew,description
Microservice Architecture,adopt,techniques,FALSE,"<p><strong><a href=""https://martinfowler.com/articles/microservices.html"">Microservices,</a></strong> often deployed out-of-container or using an embedded HTTP server, are a move away from traditional large technical services. This approach trades benefits such as maintainability for additional operational complexity. These drawbacks are typically addressed using infrastructure automation and continuous deployment techniques. We use <strong><a href=""https://microservices.io/patterns/microservices.html"">Microservice patterns</a></strong> <b>for better solutions for drawbecks and bottlenecks.</b> On balance, microservices are an effective way of managing technical debt and handling different scaling characteristics especially when deployed in a service oriented architecture built around business capabilities.</p>"
DevSecOps,adopt,techniques,FALSE,"<p><strong><a href=""https://www.sumologic.com/insight/devsecops-rugged-devops/"">DevSecOps</a></strong> adopts a philosophy of integrating security practices within the DevOps process. It encourages flexible collaboration between <b>developers (Dev)</b>, <b>security (Sec)</b>, and <b>Ops</b> teams. The main objective of DevSecOps is to close the traditional gap between software development and security while ensuring rapid delivery and deployment of code in a safe manner.</p>"
Cloud Native Applications,adopt,techniques,FALSE,"<p>Cloud native is a term used to describe container-based environments. Cloud-native technologies are used to develop applications built with services packaged in containers, deployed as microservices and managed on elastic infrastructure through agile DevOps processes and continuous delivery workflows. Cloud-native applications are deployed on infrastructure that abstracts the underlying compute, storage and networking primitives.The controller and scheduler, which are essential components of the orchestration engine, handle resource allocation and the life cycle of applications.<strong><a href=""https://kubernetes.io/"">Kubernetes</a></strong> is an ideal platform for running contemporary workloads designed as cloud-native applications. .</p>"
Multi Tenant Infrastructure,adopt,techniques,FALSE,"<p>In the early days of the cloud, organizations were reluctant to adopt cloud strategies. Few organizations considered applying policies, technologies, and controls to protect data across the cloud. The last several years, which has seen the proven effectiveness of cloud deployments in scalability, cost, and security, has changed that however. Now we’re seeing the rapid adoption of cloud platforms by organizations of all shapes and sizes.
 <strong><a href=""https://digitalguardian.com/products/threat-aware-data-protection-platform"">Digital Guardian’s Data Protection Platform</a></strong> leverages software as a service, or SaaS, to provide data protection in a package that results in superior security, better economics, and reduced overhead. One of the ways we do this is through multi-tenant architecture.</p>"
API Gateway,adopt,techniques,FALSE,"<p>An API gateway takes all API calls from clients, then routes them to the appropriate microservice with request routing, composition, and protocol translation. Typically it handles a request by invoking multiple microservices and aggregating the results, to determine the best path. It can translate between web protocols and web‑unfriendly protocols that are used internally. Open source solutions such as <strong><a href=""https://konghq.com/kong"">Kong, </a></strong><strong><a href=""https://tyk.io/"">Tyk</a></strong> and Kubernetes-native solutions <strong><a href=""https://www.getambassador.io/"">Ambassador</a></strong> implementing some API Gateway tools</p>"
Design Sprint / Thinking,adopt,techniques,FALSE,"<p>A <b>design sprint</b> is a time-constrained, five-phase process that uses <a href=""https://en.wikipedia.org/wiki/Design_thinking"" title=""Design thinking"">design thinking</a> with the aim of reducing the risk when bringing a new product, service or a feature to the market. The process aims to help teams to clearly define goals, validating assumptions and deciding on a product roadmap before starting development. It seeks to address <a href=""https://en.wikipedia.org/wiki/Business_strategy"" class=""mw-redirect"" title=""Business strategy"">strategic issues</a> using interdisciplinary, rapid <a href=""https://en.wikipedia.org/wiki/Software_prototyping"" title=""Software prototyping"">prototyping</a>, and <a href=""https://en.wikipedia.org/wiki/Usability_testing"" title=""Usability testing"">usability testing</a>. This design process is similar to <a href=""https://en.wikipedia.org/wiki/Sprint_(software_development)"" class=""mw-redirect"" title=""Sprint (software development)"">Sprints</a> in an <a href=""https://en.wikipedia.org/wiki/Agile_software_development"" title=""Agile software development"">Agile</a> development cycle.</p><p><b>Design thinking</b> refers to the <a href=""https://en.wikipedia.org/wiki/Cognition"" title=""Cognition"">cognitive</a>, strategic and practical processes by which design concepts (proposals for new products, buildings, machines, etc.) are developed. Many of the key concepts and aspects of design thinking have been identified through studies, across different design domains, of design cognition and design activity in both laboratory and natural contexts.</p>"
Liberating Structures,adopt,techniques,FALSE,"<p>Liberating Structures introduce tiny shifts in the way we meet, plan, decide and relate to one another. &nbsp;They put the innovative and faciliative power once reserved for experts only in hands of everyone. Thirty-three adaptable <a href=""/design-elements/"">microstructures</a> make it quick and simple for groups of people of any size to radically change how they interact and work together. LS can replace or complement the <em>big five</em> conventional approaches that people use all the time: presentations, managed discussions, status reports, brainstorms, and open discussions. &nbsp;In contrast, LS are designed to include and unleash everyone in shaping their future.</p>"
Domain Driven Design,adopt,techniques,FALSE,"<p><strong><a href=""http://domainlanguage.com/ddd/"">Domain Driven Design</a></strong> advocates modeling based on the reality of business as relevant to our use cases. As it is now getting older and hype level decreasing, many of us forget that the DDD approach really helps in understanding the problem at hand and design software towards the common understanding of the solution. When building applications, DDD talks about problems as domains and subdomains. It describes independent steps/areas of problems as bounded contexts, emphasizes a common language to talk about these problems, and adds many technical concepts, like <strong><a href=""https://lostechies.com/jimmybogard/2008/05/21/entities-value-objects-aggregates-and-roots/"">entities, value objects and aggregate root rules</a></strong> to support the implementation.</p>"
Container Security Scanning,trial,techniques,FALSE,"<p>The container revolution around <strong><a href=""https://www.docker.com/"">Docker</a></strong> has massively reduced the friction in moving applications between environments, fueling increased adoption of continuous delivery and continuous deployments. The latter, especially, has blown a rather large hole in the traditional controls over what can go to production. The technique of container security scanning is a necessary response to this threat vector. Tools in the build pipeline automatically check containers flowing through the pipeline against known vulnerabilities. <strong><a href=""https://coreos.com/blog/vulnerability-analysis-for-containers/"">CoreOS</a></strong> and <strong><a href=""https://www.twistlock.com/container-security/"">Twistlock</a></strong> implementing some container security tools</p>"
Service Mesh,trial,techniques,FALSE,"<p><b>A service mesh</b> offers consistent discovery, security, tracing, monitoring and failure handling without the need for a shared asset such as an API gateway or ESB. A typical implementation involves lightweight reverse-proxy processes deployed alongside each service process, perhaps in a separate container. These proxies communicate with service registries, identity providers, log aggregators and other services. Service interoperability and observability are gained through a shared implementation of this proxy but not a shared runtime instance. Open source projects such as <strong><a href=""https://linkerd.io/"">Linkerd</a></strong> and <strong><a href=""https://istio.io/"">Istio</a></strong> will continue to mature and make service meshes even easier to implement.</p>"
GitOps,adopt,techniques,FALSE,"<p>GitOps is a way to do any cluster management such as <strong><a href=""https://kubernetes.io/"">Kubernetes</a></strong> and application delivery. It works by using <strong><a href=""https://git-scm.com/"">Git</a></strong> as a single source of truth for declarative infrastructure and applications. With Git at the center of your delivery pipelines, developers can make pull requests or push to master directly to accelerate and simplify application deployments and operations tasks to cluster manager.</p>"
ADR,adopt,techniques,FALSE,"<p>Although much documentation can be replaced with highly readable code and tests, in a world of evolutionary architecture it's important to record certain design decisions for the benefit of future team members and for external oversight. Lightweight Architecture Decision Records is a technique for capturing important architectural decisions along with their context and consequences. Although these items are often stored in a wiki or collaboration tool, we generally prefer storing them in source control with simple markup.</p>"
